vignette_class,mean_confidence,std_confidence,n
A,8.127777777777778,2.2097563139634153,180
B,7.92,2.11144069729221,100
C,6.716666666666667,2.2177379425714174,60
D,7.516666666666667,2.6199473837818408,60
