vignette_class,n_questions,mean_percentage_agreement,mean_fleiss_kappa
A,9,0.7309941520467836,0.4481888794520779
B,5,0.6094736842105263,0.8449612403100776
C,3,0.4947368421052631,0.3989642866725697
D,3,0.5614035087719298,1.0
